,team_1,team_2,team_1_rating,team_2_rating,capacity,stadium,month,derby,current_season,year,city,temprature,precipitation,attendance
635,Sunderland,West Bromwich Albion,16.0,3.0,48707.0,Stadium of Light,nov,0.0,2012/13,2012,Sunderland,6.0,26.6,36390.0
636,Everton,Norwich City,5.0,13.0,39414.0,Goodison Park,nov,0.0,2012/13,2012,Liverpool,8.0,67.8,34502.0
637,Manchester United,Queens Park Rangers,1.0,20.0,75643.0,Old Trafford,nov,0.0,2012/13,2012,Manchester,7.0,35.8,75603.0
638,Stoke City,Fulham,12.0,10.0,30089.0,bet365 Stadium,nov,0.0,2012/13,2012,Stoke,7.0,35.8,26921.0
639,Wigan Athletic,Reading,15.0,19.0,25138.0,DW Stadium,nov,0.0,2012/13,2012,Wigan,8.0,67.8,15436.0
640,Aston Villa,Arsenal,18.0,6.0,42749.0,Villa Park,nov,0.0,2012/13,2012,Birmingham,7.0,31.5,34607.0
641,West Ham United,Stoke City,7.0,14.0,35345.0,Boleyn Ground,nov,0.0,2012/13,2012,London,9.0,72.0,35005.0
642,Fulham,Sunderland,9.0,15.0,25700.0,Craven Cottage,nov,0.0,2012/13,2012,London,9.0,72.0,25646.0
643,Arsenal,Tottenham Hotspur,6.0,8.0,60704.0,Emirates Stadium,nov,1.0,2012/13,2012,London,9.0,72.0,60111.0
644,Liverpool,Wigan Athletic,11.0,16.0,54074.0,Anfield,nov,0.0,2012/13,2012,Liverpool,8.0,67.8,44913.0
645,Manchester City,Aston Villa,1.0,18.0,53400.0,Etihad Stadium,nov,0.0,2012/13,2012,Manchester,7.0,35.8,47072.0
646,Newcastle United,Swansea City,12.0,10.0,52305.0,St James' Park,nov,0.0,2012/13,2012,Newcastle,6.0,202.8,49403.0
647,Queens Park Rangers,Southampton,20.0,19.0,18439.0,Loftus Road,nov,0.0,2012/13,2012,London,9.0,72.0,18174.0
648,Reading,Everton,17.0,5.0,24161.0,Madejski Stadium,nov,0.0,2012/13,2012,Reading,7.0,42.6,24184.0
649,West Bromwich Albion,Chelsea,4.0,3.0,26445.0,The Hawthorns,nov,0.0,2012/13,2012,West Bromwich,7.0,31.5,25933.0
650,Norwich City,Manchester United,13.0,2.0,27359.0,Carrow Road,nov,0.0,2012/13,2012,Norwich,8.0,32.6,26840.0
651,Manchester City,Tottenham Hotspur,2.0,7.0,53400.0,Etihad Stadium,nov,0.0,2012/13,2012,Manchester,7.0,35.8,47208.0
652,Newcastle United,West Ham United,10.0,6.0,52305.0,St James' Park,nov,0.0,2012/13,2012,Newcastle,6.0,202.8,51855.0
653,Chelsea,Liverpool,3.0,13.0,40834.0,Stamford Bridge,nov,0.0,2012/13,2012,London,9.0,72.0,41627.0
654,Arsenal,Fulham,8.0,9.0,60704.0,Emirates Stadium,nov,1.0,2012/13,2012,London,9.0,72.0,60093.0
655,Everton,Sunderland,4.0,16.0,39414.0,Goodison Park,nov,0.0,2012/13,2012,Liverpool,8.0,67.8,35999.0
656,Reading,Norwich City,18.0,15.0,24161.0,Madejski Stadium,nov,0.0,2012/13,2012,Reading,7.0,42.6,24080.0
657,Southampton,Swansea City,19.0,11.0,32384.0,The Friends Provident St Mary's Stadium,nov,0.0,2012/13,2012,Southampton,8.0,28.4,30501.0
658,Stoke City,Queens Park Rangers,12.0,20.0,30089.0,bet365 Stadium,nov,0.0,2012/13,2012,Stoke,7.0,35.8,27529.0
659,Aston Villa,Manchester United,17.0,1.0,42749.0,Villa Park,nov,0.0,2012/13,2012,Birmingham,7.0,31.5,40538.0
660,Wigan Athletic,West Bromwich Albion,14.0,5.0,25138.0,DW Stadium,nov,0.0,2012/13,2012,Wigan,8.0,67.8,17812.0
661,West Bromwich Albion,Southampton,5.0,20.0,26445.0,The Hawthorns,nov,0.0,2012/13,2012,West Bromwich,7.0,31.5,25635.0
662,Queens Park Rangers,Reading,19.0,18.0,18439.0,Loftus Road,nov,0.0,2012/13,2012,London,9.0,72.0,16797.0
663,Liverpool,Newcastle United,12.0,10.0,54074.0,Anfield,nov,0.0,2012/13,2012,Liverpool,8.0,67.8,44803.0
664,Manchester United,Arsenal,1.0,7.0,75643.0,Old Trafford,nov,0.0,2012/13,2012,Manchester,7.0,35.8,75492.0
665,Fulham,Everton,8.0,4.0,25700.0,Craven Cottage,nov,0.0,2012/13,2012,London,9.0,72.0,25699.0
666,Norwich City,Stoke City,14.0,15.0,27359.0,Carrow Road,nov,0.0,2012/13,2012,Norwich,8.0,32.6,26072.0
667,Sunderland,Aston Villa,16.0,17.0,48707.0,Stadium of Light,nov,0.0,2012/13,2012,Sunderland,6.0,26.6,41515.0
668,Swansea City,Chelsea,11.0,2.0,20937.0,Liberty Stadium,nov,0.0,2012/13,2012,Swansea,10.0,125.4,20527.0
669,Tottenham Hotspur,Wigan Athletic,6.0,13.0,36284.0,White Hart Lane,nov,0.0,2012/13,2012,London,9.0,72.0,35534.0
670,West Ham United,Manchester City,9.0,3.0,35345.0,Boleyn Ground,nov,0.0,2012/13,2012,London,9.0,72.0,35005.0
671,Everton,Liverpool,5.0,12.0,39414.0,Goodison Park,oct,1.0,2012/13,2012,Liverpool,12.0,58.2,39613.0
